species,query_type,region,season,start_year,end_year,prey_level,taxon,pct_items,pct_wt_or_vol,pct_occurrence,pct_unspecified,database_timestamp
Blue Jay,Prey,all regions,all seasons,1915,1993,Class,Magnoliopsida [dicots],,9.75,95,,"December 18, 2022 00:00:05 UTC"
Blue Jay,Prey,all regions,all seasons,1915,1993,Class,Insecta [insects],,3,60,,"December 18, 2022 00:00:05 UTC"
Blue Jay,Prey,all regions,all seasons,1915,1993,Class,Other,,87.25,,,"December 18, 2022 00:00:05 UTC"
Northern Cardinal,Prey,all regions,all seasons,1908,1961,Class,Magnoliopsida [dicots],,20.0,17.8,,"December 18, 2022 00:00:05 UTC"
Northern Cardinal,Prey,all regions,all seasons,1908,1961,Class,Insecta [insects],,3.80,15.7,,"December 18, 2022 00:00:05 UTC"
Northern Cardinal,Prey,all regions,all seasons,1908,1961,Class,Other,,76.2,0.1,,"December 18, 2022 00:00:05 UTC"
Trumpeter Swan,Prey,all regions,all seasons,1937,1995,Class,Magnoliopsida [dicots],71.1,67,34.8,,"December 18, 2022 00:00:05 UTC"
Trumpeter Swan,Prey,all regions,all seasons,1937,1995,Class,Bryopsida [true mosses],,32,,,"December 18, 2022 00:00:05 UTC"
Trumpeter Swan,Prey,all regions,all seasons,1937,1995,Class,Other,,1,,,"December 18, 2022 00:00:05 UTC"
Ruby-throated Hummingbird,Prey,all regions,all seasons,1912,1916,Class,Insecta [insects],,46.9,,,"December 18, 2022 00:00:05 UTC"
Ruby-throated Hummingbird,Prey,all regions,all seasons,1912,1916,Class,Euchelicerata,,43.2,,,"December 18, 2022 00:00:05 UTC"
Ruby-throated Hummingbird,Prey,all regions,all seasons,1912,1916,Class,Magnoliopsida [dicots],,8.4,,,"December 18, 2022 00:00:05 UTC"
Roseate Spoonbill,Prey,all regions,all seasons,1939,1939,Class,Insecta [insects],,11.3,,,"December 18, 2022 00:00:05 UTC"
Roseate Spoonbill,Prey,all regions,all seasons,1939,1939,Class,Malacostraca [malacostracans],,4.67,,,"December 18, 2022 00:00:05 UTC"
Roseate Spoonbill,Prey,all regions,all seasons,1939,1939,Class,Magnoliopsida [dicots],,3.33,,,"December 18, 2022 00:00:05 UTC"
Roseate Spoonbill,Prey,all regions,all seasons,1939,1939,Class,Other,,80.7,,,"December 18, 2022 00:00:05 UTC"
Bald Eagle,Prey,all regions,all seasons,1936,2010,Class,Teleostei [teleost fishes],53.9,46.8,28.1,,"December 18, 2022 00:00:05 UTC"
Bald Eagle,Prey,all regions,all seasons,1936,2010,Class,Aves [birds],29.8,25.0,60.1,,"December 18, 2022 00:00:05 UTC"
Bald Eagle,Prey,all regions,all seasons,1936,2010,Class,Mammalia [mammals],11.0,18.9,15.2,,"December 18, 2022 00:00:05 UTC"
Bald Eagle,Prey,all regions,all seasons,1936,2010,Class,Other,,9.3,,,"December 18, 2022 00:00:05 UTC"
Purple Gallinule,Prey,all regions,all seasons,1916,1978,Class,Magnoliopsida [dicots],100,75.5,98,,"December 18, 2022 00:00:05 UTC"
Purple Gallinule,Prey,all regions,all seasons,1916,1978,Class,Aves [birds],,1,2,,"December 18, 2022 00:00:05 UTC"
Purple Gallinule,Prey,all regions,all seasons,1916,1978,Class,Insecta [insects],,23.5,26,,"December 18, 2022 00:00:05 UTC"
Atlantic Puffin,Prey,all regions,all seasons,1973,1988,Class,Teleostei [teleost fishes],8.06,100,46,,"December 18, 2022 00:00:05 UTC"
Mallard,Prey,all regions,all seasons,1916,1982,Class,Magnoliopsida [dicots],,42.2,,,"December 18, 2022 00:00:05 UTC"
Mallard,Prey,all regions,all seasons,1916,1982,Class,Insecta [insects],,8.13,,,"December 18, 2022 00:00:05 UTC"
Mallard,Prey,all regions,all seasons,1916,1982,Class,Gastropoda [gastropods],,3.98,,,"December 18, 2022 00:00:05 UTC"
Mallard,Prey,all regions,all seasons,1916,1982,Class,Other,,45.69,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Mammalia [mammals],70.2,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Aves [birds],12.6,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Amphibia [amphibians],6.65,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Teleostei [teleost fishes],3.41,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Malacostraca [malacostracans],2.17,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Insecta [insects],1.92,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Reptilia [reptiles],1.10,,,,"December 18, 2022 00:00:05 UTC"
Barred Owl,Prey,all regions,all seasons,1928,1996,Class,Other,1.95,,,,"December 18, 2022 00:00:05 UTC"
