COUNTY_CODE,BALD_EAGLES
02013,129
02016,777
02020,2077
02050,29
02060,49
02068,92
02070,13
02090,346
02100,29
02110,2609
02122,4564
02130,425
02150,1152
02164,51
02170,705
02180,26
02185,27
02188,15
02201,109
02220,1270
02232,484
02240,89
02261,831
02280,750
02282,30
02290,67
01001,4
01003,641
01005,100
01007,7
01009,1
01013,1
01015,55
01017,22
01019,5
01021,33
01023,4
01027,4
01029,3
01031,1
01033,67
01035,3
01037,5
01039,1
01041,2
01043,5
01047,10
01049,6
01051,9
01053,1
01055,4
01061,8
01063,18
01065,78
01067,7
01069,51
01071,38
01073,25
01077,75
01079,25
01081,29
01083,261
01089,71
01091,6
01095,165
01097,592
01101,53
01103,96
01105,42
01107,18
01109,4
01111,3
01113,2
01115,17
01117,58
01119,11
01121,5
01123,8
01125,69
01129,3
01131,6
05001,24
05003,6
05005,391
05007,217
05009,8
05013,3
05015,31
05017,2
05019,11
05021,6
05023,22
05025,2
05027,7
05029,47
05031,21
05033,150
05035,72
05037,3
05041,42
05045,109
05047,14
05049,39
05051,23
05055,9
05057,14
05059,7
05063,3
05065,8
05067,3
05069,62
05071,20
05075,18
05077,5
05079,11
05081,8
05083,9
05085,17
05087,28
05089,26
05091,7
05093,34
05095,10
05097,6
05099,4
05101,21
05103,1
05105,3
05107,4
05109,9
05111,22
05113,2
05115,90
05117,11
05119,126
05121,21
05123,7
05125,72
05127,152
05129,18
05131,21
05133,6
05135,29
05137,23
05139,10
05141,7
05143,147
05145,197
05147,11
05149,38
04001,118
04003,44
04005,783
04007,150
04009,1
04011,2
04012,33
04013,1768
04015,9
04017,302
04019,4
04021,58
04023,8
04025,560
04027,4
06001,444
06003,71
06005,55
06007,487
06009,93
06011,108
06013,241
06015,277
06017,271
06019,199
06021,494
06023,588
06025,1
06027,96
06029,38
06031,1
06033,143
06035,135
06037,402
06039,125
06041,607
06043,45
06045,354
06047,241
06049,170
06051,375
06053,276
06055,127
06057,189
06059,457
06061,280
06063,490
06065,211
06067,787
06069,225
06071,141
06073,544
06075,165
06077,50
06079,829
06081,194
06083,318
06085,855
06087,152
06089,456
06091,59
06093,600
06095,126
06097,445
06099,96
06101,68
06103,207
06105,101
06107,102
06109,243
06111,153
06113,211
06115,109
08001,2390
08003,42
08005,1726
08007,149
08009,7
08011,101
08013,3927
08014,205
08015,69
08017,4
08019,56
08021,10
08023,8
08025,44
08027,15
08029,129
08031,503
08033,18
08035,697
08037,199
08039,3
08041,523
08043,35
08045,206
08047,11
08049,113
08051,101
08053,22
08055,59
08057,161
08059,1685
08061,35
08063,1
08065,51
08067,214
08069,2431
08071,29
08075,187
08077,981
08079,24
08081,202
08083,506
08085,147
08087,278
08089,60
08091,103
08093,118
08095,1
08097,59
08099,25
08101,187
08103,80
08105,80
08107,167
08109,11
08111,4
08113,54
08115,70
08117,108
08119,107
08121,163
08123,1147
08125,5
09001,1198
09003,1055
09005,864
09007,434
09009,1418
09011,727
09013,190
09015,172
11001,1794
10001,4428
10003,1955
10005,3912
12001,2384
12003,4
12005,485
12007,15
12009,2548
12011,105
12013,12
12015,1173
12017,372
12019,315
12021,1287
12023,66
12027,10
12029,45
12031,1274
12033,367
12035,158
12037,816
12039,51
12041,8
12043,160
12045,142
12047,14
12049,23
12051,59
12053,557
12055,275
12057,869
12059,1
12061,262
12063,60
12065,33
12067,6
12069,1191
12071,2209
12073,512
12075,237
12077,23
12079,75
12081,1248
12083,802
12085,289
12086,400
12087,862
12089,113
12091,126
12093,134
12095,2483
12097,1248
12099,431
12101,521
12103,2650
12105,1627
12107,122
12109,1140
12111,188
12113,269
12115,3249
12117,728
12119,251
12121,11
12123,69
12125,8
12127,1139
12129,1813
12131,163
12133,5
13005,1
13007,29
13009,3
13011,8
13013,1
13015,47
13019,33
13021,33
13023,2
13025,1
13027,80
13029,75
13031,23
13033,28
13035,4
13037,1
13039,214
13045,17
13047,1
13049,7
13051,658
13053,9
13055,3
13057,13
13059,9
13061,14
13063,66
13065,2
13067,91
13069,1
13071,12
13073,24
13075,11
13077,9
13081,9
13083,3
13085,4
13087,44
13089,36
13091,2
13093,5
13095,4
13097,11
13099,3
13103,1
13105,6
13107,1
13109,4
13111,53
13113,16
13115,42
13117,27
13119,4
13121,167
13123,4
13125,1
13127,1020
13129,33
13131,15
13133,39
13135,15
13137,2
13139,36
13141,2
13143,1
13145,15
13147,10
13149,4
13151,16
13153,13
13155,1
13157,14
13159,36
13161,3
13163,4
13165,1
13169,3
13171,3
13173,1
13175,19
13177,4
13179,72
13181,10
13183,3
13185,52
13187,4
13189,4
13191,452
13193,16
13195,1
13197,1
13199,2
13201,5
13205,2
13207,5
13211,13
13213,47
13215,137
13217,21
13219,3
13221,2
13223,1
13227,2
13235,6
13237,3
13239,13
13241,23
13245,94
13249,6
13253,18
13255,1
13257,4
13259,32
13261,5
13263,2
13273,2
13275,17
13277,13
13281,11
13285,157
13287,5
13291,9
13293,4
13295,7
13297,1
13301,2
13303,6
13305,2
13307,1
13309,1
13311,1
13313,8
13317,7
13319,3
13321,8
19001,6
19003,3
19005,183
19007,48
19009,2
19011,75
19013,275
19015,107
19017,115
19019,116
19021,77
19023,52
19025,8
19027,46
19029,9
19031,53
19033,35
19035,6
19037,8
19039,6
19041,32
19043,98
19045,128
19047,3
19049,102
19051,12
19053,22
19055,48
19057,43
19059,55
19061,423
19063,5
19065,8
19067,28
19069,8
19071,68
19073,51
19075,22
19077,17
19079,42
19081,4
19083,39
19085,133
19087,30
19089,25
19091,7
19093,11
19095,39
19097,210
19099,104
19101,51
19103,1536
19105,25
19107,19
19109,6
19111,63
19113,304
19115,260
19117,31
19119,4
19121,37
19123,20
19125,196
19127,74
19129,27
19131,19
19133,29
19135,3
19137,6
19139,105
19141,7
19143,2
19145,5
19147,16
19149,11
19151,16
19153,1217
19155,201
19157,32
19159,6
19161,24
19163,363
19165,5
19167,17
19169,638
19171,48
19173,5
19175,6
19177,79
19179,8
19181,32
19183,60
19185,3
19187,24
19189,5
19191,186
19193,122
19195,11
19197,7
16001,756
16003,45
16005,61
16007,79
16009,95
16011,69
16013,154
16015,126
16017,389
16019,197
16021,350
16023,1
16025,40
16027,425
16029,21
16031,40
16033,10
16035,48
16037,98
16039,121
16041,7
16043,261
16045,164
16047,126
16049,93
16051,243
16053,25
16055,298
16057,171
16059,118
16061,30
16065,87
16067,29
16069,174
16071,6
16073,105
16075,37
16077,75
16079,26
16081,85
16083,63
16085,167
16087,34
17001,141
17003,111
17005,31
17007,27
17009,26
17011,324
17013,73
17015,262
17017,9
17019,311
17021,26
17023,154
17025,7
17027,256
17029,160
17031,1939
17033,17
17035,33
17037,74
17039,92
17041,5
17043,1388
17045,48
17047,30
17049,12
17051,44
17053,13
17055,47
17057,339
17059,19
17061,6
17063,168
17065,3
17067,41
17069,8
17071,69
17073,42
